"tair_locus" "tair_symbol" "transcript_ID" "chromosome_name" "start_position" "end_position" "transcript_start" "transcript_end" "regionString" "transcript_length"
"AT1G15750" "WSIP1" "AT1G15750.4" 1 5414817 5421033 5414817 5420998 "1:5414817-5420998" 6181
"AT1G15750" "WSIP1" "AT1G15750.2" 1 5414817 5421033 5414817 5421033 "1:5414817-5421033" 6216
"AT1G15750" "WSIP1" "AT1G15750.1" 1 5414817 5421033 5414817 5420860 "1:5414817-5420860" 6043
"AT1G15750" "WSIP1" "AT1G15750.3" 1 5414817 5421033 5414817 5420859 "1:5414817-5420859" 6042
"AT1G80490" "TPR1" "AT1G80490.2" 1 30260818 30267125 30260818 30267125 "1:30260818-30267125" 6307
"AT1G80490" "TPR1" "AT1G80490.1" 1 30260818 30267125 30260845 30267119 "1:30260845-30267119" 6274
"AT1G80490" "TPR1" "AT1G80490.3" 1 30260818 30267125 30260903 30267038 "1:30260903-30267038" 6135
"AT3G15880" "WSIP2" "AT3G15880.1" 3 5364081 5372293 5364518 5372293 "3:5364518-5372293" 7775
"AT3G15880" "WSIP2" "AT3G15880.2" 3 5364081 5372293 5364081 5372289 "3:5364081-5372289" 8208
"AT3G15880" "WSIP2" "AT3G15880.4" 3 5364081 5372293 5364792 5372293 "3:5364792-5372293" 7501
"AT3G15880" "WSIP2" "AT3G15880.3" 3 5364081 5372293 5364612 5372293 "3:5364612-5372293" 7681
"AT3G16830" "TPR2" "AT3G16830.1" 3 5731519 5737854 5731519 5737854 "3:5731519-5737854" 6335
"AT5G27030" "TPR3" "AT5G27030.2" 5 9508718 9515565 9508764 9515407 "5:9508764-9515407" 6643
"AT5G27030" "TPR3" "AT5G27030.1" 5 9508718 9515565 9508718 9515565 "5:9508718-9515565" 6847
"AT1G12820" "AFB3" "AT1G12820.1" 1 4368760 4371298 4368760 4371298 "1:4368760-4371298" 2538
"AT2G39940" "COI1" "AT2G39940.1" 2 16672493 16675864 16672493 16675864 "2:16672493-16675864" 3371
"AT3G26810" "AFB2" "AT3G26810.1" 3 9867652 9870782 9867652 9870782 "3:9867652-9870782" 3130
"AT3G62980" "TIR1" "AT3G62980.1" 3 23273065 23276630 23273065 23276630 "3:23273065-23276630" 3565
"AT4G03190" "GRH1" "AT4G03190.1" 4 1404887 1407402 1404887 1407402 "4:1404887-1407402" 2515
"AT4G24390" "" "AT4G24390.1" 4 12613076 12616238 12613076 12616238 "4:12613076-12616238" 3162
"AT4G24390" "" "AT4G24390.2" 4 12613076 12616238 12613590 12616117 "4:12613590-12616117" 2527
"AT5G49980" "AFB5" "AT5G49980.1" 5 20333897 20336671 20333897 20336671 "5:20333897-20336671" 2774
"AT1G04100" "IAA10" "AT1G04100.1" 1 1059470 1061209 1059470 1061209 "1:1059470-1061209" 1739
"AT1G04240" "SHY2" "AT1G04240.2" 1 1128149 1129689 1128149 1129689 "1:1128149-1129689" 1540
"AT1G04240" "SHY2" "AT1G04240.1" 1 1128149 1129689 1128177 1129551 "1:1128177-1129551" 1374
"AT1G04250" "AXR3" "AT1G04250.1" 1 1136078 1138663 1136078 1138663 "1:1136078-1138663" 2585
"AT1G04550" "IAA12" "AT1G04550.1" 1 1240294 1242157 1240375 1242120 "1:1240375-1242120" 1745
"AT1G04550" "IAA12" "AT1G04550.2" 1 1240294 1242157 1240294 1242157 "1:1240294-1242157" 1863
"AT1G15050" "IAA34" "AT1G15050.1" 1 5181991 5183413 5181991 5183413 "1:5181991-5183413" 1422
"AT1G15050" "IAA34" "AT1G15050.2" 1 5181991 5183413 5182107 5183029 "1:5182107-5183029" 922
"AT1G15580" "IAA5" "AT1G15580.1" 1 5365512 5366497 5365512 5366497 "1:5365512-5366497" 985
"AT1G51950" "IAA18" "AT1G51950.1" 1 19305081 19307518 19305081 19307518 "1:19305081-19307518" 2437
"AT1G52830" "IAA6" "AT1G52830.1" 1 19672476 19673652 19672476 19673652 "1:19672476-19673652" 1176
"AT1G80390" "IAA15" "AT1G80390.1" 1 30221629 30222769 30221629 30222769 "1:30221629-30222769" 1140
"AT2G01200" "IAA32" "AT2G01200.2" 2 117969 120095 118018 120095 "2:118018-120095" 2077
"AT2G01200" "IAA32" "AT2G01200.1" 2 117969 120095 117969 119332 "2:117969-119332" 1363
"AT2G22670" "IAA8" "AT2G22670.2" 2 9636346 9638761 9636440 9638667 "2:9636440-9638667" 2227
"AT2G22670" "IAA8" "AT2G22670.1" 2 9636346 9638761 9636346 9638761 "2:9636346-9638761" 2415
"AT2G22670" "IAA8" "AT2G22670.3" 2 9636346 9638761 9636492 9638683 "2:9636492-9638683" 2191
"AT2G22670" "IAA8" "AT2G22670.4" 2 9636346 9638761 9636380 9638745 "2:9636380-9638745" 2365
"AT2G22670" "IAA8" "AT2G22670.5" 2 9636346 9638761 9636440 9638667 "2:9636440-9638667" 2227
"AT2G33310" "IAA13" "AT2G33310.2" 2 14113025 14116089 14114281 14115969 "2:14114281-14115969" 1688
"AT2G33310" "IAA13" "AT2G33310.3" 2 14113025 14116089 14113025 14116024 "2:14113025-14116024" 2999
