"tair_locus" "tair_symbol" "transcript_ID" "chromosome_name" "start_position" "end_position" "strand" "transcript_start" "transcript_end" "regionString" "transcript_length"
"AT1G12820" "AFB3" "AT1G12820.1" 1 4368760 4371298 -1 4368879 4370780 "1:4368879-4370780" 1901
"AT2G39940" "COI1" "AT2G39940.1" 2 16672493 16675864 -1 16672848 16675486 "2:16672848-16675486" 2638
"AT3G26810" "AFB2" "AT3G26810.1" 3 9867652 9870782 1 9868342 9870464 "3:9868342-9870464" 2122
"AT3G62980" "TIR1" "AT3G62980.1" 3 23273065 23276630 -1 23273479 23276181 "3:23273479-23276181" 2702
"AT4G03190" "GRH1" "AT4G03190.1" 4 1404887 1407402 -1 1405108 1407057 "4:1405108-1407057" 1949
"AT4G24390" "AFB4" "AT4G24390.1" 4 12613076 12616238 -1 12613909 12615966 "4:12613909-12615966" 2057
"AT4G24390" "AFB4" "AT4G24390.2" 4 12613076 12616238 -1 12613909 12615966 "4:12613909-12615966" 2057
"AT5G49980" "AFB5" "AT5G49980.1" 5 20333897 20336671 -1 20334420 20336531 "5:20334420-20336531" 2111
"AT1G19220" "ARF19" "AT1G19220.1" 1 6627683 6633133 -1 6628395 6632779 "1:6628395-6632779" 4384
"AT1G19850" "MP" "AT1G19850.1" 1 6886669 6891404 1 6887353 6891182 "1:6887353-6891182" 3829
"AT1G19850" "MP" "AT1G19850.2" 1 6886669 6891404 1 6887386 6891182 "1:6887386-6891182" 3796
"AT1G30330" "ARF6" "AT1G30330.2" 1 10685822 10690988 -1 10686125 10690036 "1:10686125-10690036" 3911
"AT1G30330" "ARF6" "AT1G30330.1" 1 10685822 10690988 -1 10686125 10690036 "1:10686125-10690036" 3911
"AT1G30330" "ARF6" "AT1G30330.3" 1 10685822 10690988 -1 10686125 10690036 "1:10686125-10690036" 3911
"AT1G34170" "ARF13" "AT1G34170.3" 1 12443547 12446764 -1 12443578 12446764 "1:12443578-12446764" 3186
"AT1G34170" "ARF13" "AT1G34170.1" 1 12443547 12446764 -1 12444265 12446764 "1:12444265-12446764" 2499
"AT1G34170" "ARF13" "AT1G34170.2" 1 12443547 12446764 -1 12444265 12446764 "1:12444265-12446764" 2499
"AT1G34310" "ARF12" "AT1G34310.1" 1 12508548 12511520 -1 12508548 12511520 "1:12508548-12511520" 2972
"AT1G34390" "ARF22" "AT1G34390.1" 1 12556005 12559082 1 12556005 12559082 "1:12556005-12559082" 3077
"AT1G34410" "ARF21" "AT1G34410.1" 1 12577722 12580824 1 12577722 12580824 "1:12577722-12580824" 3102
"AT1G35240" "ARF20" "AT1G35240.1" 1 12927303 12930523 -1 12927457 12930523 "1:12927457-12930523" 3066
"AT1G35520" "ARF15" "AT1G35520.1" 1 13082819 13085830 -1 13082819 13085830 "1:13082819-13085830" 3011
"AT1G35540" "ARF14" "AT1G35540.1" 1 13108634 13111700 1 13108634 13111700 "1:13108634-13111700" 3066
"AT1G43950" "ARF23" "AT1G43950.1" 1 16672582 16673952 -1 16672582 16673952 "1:16672582-16673952" 1370
"AT1G59750" "ARF1" "AT1G59750.4" 1 21979289 21984433 1 21980414 21984193 "1:21980414-21984193" 3779
"AT1G59750" "ARF1" "AT1G59750.1" 1 21979289 21984433 1 21980414 21984193 "1:21980414-21984193" 3779
"AT1G59750" "ARF1" "AT1G59750.3" 1 21979289 21984433 1 21980414 21984193 "1:21980414-21984193" 3779
"AT1G59750" "ARF1" "AT1G59750.2" 1 21979289 21984433 1 21980414 21984193 "1:21980414-21984193" 3779
"AT1G77850" "ARF17" "AT1G77850.2" 1 29272074 29275507 1 29272405 29274663 "1:29272405-29274663" 2258
"AT1G77850" "ARF17" "AT1G77850.1" 1 29272074 29275507 1 29272405 29275193 "1:29272405-29275193" 2788
"AT2G28350" "ARF10" "AT2G28350.2" 2 12113889 12116957 1 12114331 12116500 "2:12114331-12116500" 2169
"AT2G28350" "ARF10" "AT2G28350.1" 2 12113889 12116957 1 12114331 12116665 "2:12114331-12116665" 2334
"AT2G33860" "ETT" "AT2G33860.2" 2 14325206 14328978 -1 14325444 14327578 "2:14325444-14327578" 2134
"AT2G33860" "ETT" "AT2G33860.1" 2 14325206 14328978 -1 14325444 14328613 "2:14325444-14328613" 3169
"AT2G46530" "ARF11" "AT2G46530.1" 2 19104632 19108486 1 19104993 19108029 "2:19104993-19108029" 3036
"AT2G46530" "ARF11" "AT2G46530.3" 2 19104632 19108486 1 19105112 19108029 "2:19105112-19108029" 2917
"AT2G46530" "ARF11" "AT2G46530.2" 2 19104632 19108486 1 19105511 19108029 "2:19105511-19108029" 2518
"AT3G61830" "ARF18" "AT3G61830.1" 3 22887889 22891455 1 22888171 22891179 "3:22888171-22891179" 3008
"AT3G61830" "ARF18" "AT3G61830.2" 3 22887889 22891455 1 22888595 22891179 "3:22888595-22891179" 2584
"AT4G23980" "ARF9" "AT4G23980.1" 4 12451143 12455369 1 12451592 12454737 "4:12451592-12454737" 3145
"AT4G23980" "ARF9" "AT4G23980.2" 4 12451143 12455369 1 12451592 12454737 "4:12451592-12454737" 3145
