"tair_locus" "tair_symbol" "transcript_ID" "chromosome_name" "start_position" "end_position" "strand" "transcript_start" "transcript_end" "regionString" "transcript_length"
"1" "AT1G15750" "WSIP1" "AT1G15750.4" "1" 5414817 5421033 1 5414817 5420998 "1:5414817-5420998" 6181
"2" "AT1G15750" "WSIP1" "AT1G15750.2" "1" 5414817 5421033 1 5414817 5421033 "1:5414817-5421033" 6216
"3" "AT1G15750" "WSIP1" "AT1G15750.1" "1" 5414817 5421033 1 5414817 5420860 "1:5414817-5420860" 6043
"4" "AT1G15750" "WSIP1" "AT1G15750.3" "1" 5414817 5421033 1 5414817 5420859 "1:5414817-5420859" 6042
"5" "AT1G80490" "TPR1" "AT1G80490.2" "1" 30260818 30267125 1 30260818 30267125 "1:30260818-30267125" 6307
"6" "AT1G80490" "TPR1" "AT1G80490.1" "1" 30260818 30267125 1 30260845 30267119 "1:30260845-30267119" 6274
"7" "AT1G80490" "TPR1" "AT1G80490.3" "1" 30260818 30267125 1 30260903 30267038 "1:30260903-30267038" 6135
"8" "AT3G15880" "WSIP2" "AT3G15880.1" "3" 5364081 5372293 1 5364518 5372293 "3:5364518-5372293" 7775
"9" "AT3G15880" "WSIP2" "AT3G15880.2" "3" 5364081 5372293 1 5364081 5372289 "3:5364081-5372289" 8208
"10" "AT3G15880" "WSIP2" "AT3G15880.4" "3" 5364081 5372293 1 5364792 5372293 "3:5364792-5372293" 7501
"11" "AT3G15880" "WSIP2" "AT3G15880.3" "3" 5364081 5372293 1 5364612 5372293 "3:5364612-5372293" 7681
"12" "AT3G16830" "TPR2" "AT3G16830.1" "3" 5731519 5737854 1 5731519 5737854 "3:5731519-5737854" 6335
"13" "AT5G27030" "TPR3" "AT5G27030.2" "5" 9508718 9515565 1 9508764 9515407 "5:9508764-9515407" 6643
"14" "AT5G27030" "TPR3" "AT5G27030.1" "5" 9508718 9515565 1 9508718 9515565 "5:9508718-9515565" 6847
"15" "AT1G12820" "AFB3" "AT1G12820.1" "1" 4368760 4371298 1 4368760 4371298 "1:4368760-4371298" 2538
"16" "AT2G39940" "COI1" "AT2G39940.1" "2" 16672493 16675864 1 16672493 16675864 "2:16672493-16675864" 3371
"17" "AT3G26810" "AFB2" "AT3G26810.1" "3" 9867652 9870782 1 9867652 9870782 "3:9867652-9870782" 3130
"18" "AT3G62980" "TIR1" "AT3G62980.1" "3" 23273065 23276630 1 23273065 23276630 "3:23273065-23276630" 3565
"19" "AT4G03190" "GRH1" "AT4G03190.1" "4" 1404887 1407402 1 1404887 1407402 "4:1404887-1407402" 2515
"20" "AT4G24390" "" "AT4G24390.1" "4" 12613076 12616238 1 12613076 12616238 "4:12613076-12616238" 3162
"21" "AT4G24390" "" "AT4G24390.2" "4" 12613076 12616238 1 12613590 12616117 "4:12613590-12616117" 2527
"22" "AT5G49980" "AFB5" "AT5G49980.1" "5" 20333897 20336671 1 20333897 20336671 "5:20333897-20336671" 2774
"23" "AT1G04100" "IAA10" "AT1G04100.1" "1" 1059470 1061209 1 1059470 1061209 "1:1059470-1061209" 1739
"24" "AT1G04240" "SHY2" "AT1G04240.2" "1" 1128149 1129689 1 1128149 1129689 "1:1128149-1129689" 1540
"25" "AT1G04240" "SHY2" "AT1G04240.1" "1" 1128149 1129689 1 1128177 1129551 "1:1128177-1129551" 1374
"26" "AT1G04250" "AXR3" "AT1G04250.1" "1" 1136078 1138663 1 1136078 1138663 "1:1136078-1138663" 2585
"27" "AT1G04550" "IAA12" "AT1G04550.1" "1" 1240294 1242157 1 1240375 1242120 "1:1240375-1242120" 1745
"28" "AT1G04550" "IAA12" "AT1G04550.2" "1" 1240294 1242157 1 1240294 1242157 "1:1240294-1242157" 1863
"29" "AT1G15050" "IAA34" "AT1G15050.1" "1" 5181991 5183413 1 5181991 5183413 "1:5181991-5183413" 1422
"30" "AT1G15050" "IAA34" "AT1G15050.2" "1" 5181991 5183413 1 5182107 5183029 "1:5182107-5183029" 922
"31" "AT1G15580" "IAA5" "AT1G15580.1" "1" 5365512 5366497 1 5365512 5366497 "1:5365512-5366497" 985
"32" "AT1G51950" "IAA18" "AT1G51950.1" "1" 19305081 19307518 1 19305081 19307518 "1:19305081-19307518" 2437
"33" "AT1G52830" "IAA6" "AT1G52830.1" "1" 19672476 19673652 1 19672476 19673652 "1:19672476-19673652" 1176
"34" "AT1G80390" "IAA15" "AT1G80390.1" "1" 30221629 30222769 1 30221629 30222769 "1:30221629-30222769" 1140
"35" "AT2G01200" "IAA32" "AT2G01200.2" "2" 117969 120095 1 118018 120095 "2:118018-120095" 2077
"36" "AT2G01200" "IAA32" "AT2G01200.1" "2" 117969 120095 1 117969 119332 "2:117969-119332" 1363
"37" "AT2G22670" "IAA8" "AT2G22670.2" "2" 9636346 9638761 1 9636440 9638667 "2:9636440-9638667" 2227
"38" "AT2G22670" "IAA8" "AT2G22670.1" "2" 9636346 9638761 1 9636346 9638761 "2:9636346-9638761" 2415
"39" "AT2G22670" "IAA8" "AT2G22670.3" "2" 9636346 9638761 1 9636492 9638683 "2:9636492-9638683" 2191
"40" "AT2G22670" "IAA8" "AT2G22670.4" "2" 9636346 9638761 1 9636380 9638745 "2:9636380-9638745" 2365
"41" "AT2G22670" "IAA8" "AT2G22670.5" "2" 9636346 9638761 1 9636440 9638667 "2:9636440-9638667" 2227
"42" "AT2G33310" "IAA13" "AT2G33310.2" "2" 14113025 14116089 1 14114281 14115969 "2:14114281-14115969" 1688
"43" "AT2G33310" "IAA13" "AT2G33310.3" "2" 14113025 14116089 1 14113025 14116024 "2:14113025-14116024" 2999
"44" "AT2G33310" "IAA13" "AT2G33310.1" "2" 14113025 14116089 1 14114207 14116089 "2:14114207-14116089" 1882
"45" "AT2G46990" "IAA20" "AT2G46990.2" "2" 19307714 19309071 1 19307714 19309071 "2:19307714-19309071" 1357
"46" "AT2G46990" "IAA20" "AT2G46990.1" "2" 19307714 19309071 1 19307714 19309071 "2:19307714-19309071" 1357
"47" "AT3G04730" "IAA16" "AT3G04730.1" "3" 1288155 1290891 1 1288155 1290891 "3:1288155-1290891" 2736
"48" "AT3G15540" "IAA19" "AT3G15540.1" "3" 5264001 5265695 1 5264001 5265695 "3:5264001-5265695" 1694
"49" "AT3G16500" "PAP1" "AT3G16500.1" "3" 5612203 5614803 1 5612203 5614803 "3:5612203-5614803" 2600
"50" "AT3G16500" "PAP1" "AT3G16500.2" "3" 5612203 5614803 1 5612836 5614513 "3:5612836-5614513" 1677
"51" "AT3G17600" "IAA31" "AT3G17600.1" "3" 6019973 6021147 1 6019973 6021147 "3:6019973-6021147" 1174
"52" "AT3G23030" "IAA2" "AT3G23030.1" "3" 8180646 8182095 1 8180702 8181853 "3:8180702-8181853" 1151
"53" "AT3G23030" "IAA2" "AT3G23030.2" "3" 8180646 8182095 1 8180646 8182095 "3:8180646-8182095" 1449
"54" "AT3G23050" "IAA7" "AT3G23050.3" "3" 8194606 8197161 1 8194659 8197161 "3:8194659-8197161" 2502
"55" "AT3G23050" "IAA7" "AT3G23050.1" "3" 8194606 8197161 1 8194606 8197155 "3:8194606-8197155" 2549
"56" "AT3G23050" "IAA7" "AT3G23050.2" "3" 8194606 8197161 1 8194711 8196545 "3:8194711-8196545" 1834
"57" "AT3G62100" "IAA30" "AT3G62100.2" "3" 22995686 22996809 1 22995777 22996802 "3:22995777-22996802" 1025
"58" "AT3G62100" "IAA30" "AT3G62100.1" "3" 22995686 22996809 1 22995686 22996809 "3:22995686-22996809" 1123
"59" "AT4G14550" "IAA14" "AT4G14550.2" "4" 8347822 8350263 1 8348579 8350263 "4:8348579-8350263" 1684
"60" "AT4G14550" "IAA14" "AT4G14550.1" "4" 8347822 8350263 1 8347822 8350263 "4:8347822-8350263" 2441
"61" "AT4G14550" "IAA14" "AT4G14550.3" "4" 8347822 8350263 1 8349005 8350263 "4:8349005-8350263" 1258
"62" "AT4G14550" "IAA14" "AT4G14550.4" "4" 8347822 8350263 1 8349181 8350030 "4:8349181-8350030" 849
"63" "AT4G14560" "IAA1" "AT4G14560.1" "4" 8360996 8362033 1 8360996 8362033 "4:8360996-8362033" 1037
"64" "AT4G28640" "IAA11" "AT4G28640.2" "4" 14142063 14143969 1 14142135 14143969 "4:14142135-14143969" 1834
"65" "AT4G28640" "IAA11" "AT4G28640.1" "4" 14142063 14143969 1 14142135 14143969 "4:14142135-14143969" 1834
"66" "AT4G28640" "IAA11" "AT4G28640.3" "4" 14142063 14143969 1 14142063 14143968 "4:14142063-14143968" 1905
"67" "AT4G29080" "PAP2" "AT4G29080.1" "4" 14323296 14325361 1 14323296 14325361 "4:14323296-14325361" 2065
"68" "AT4G32280" "IAA29" "AT4G32280.3" "4" 15583332 15584903 1 15583363 15584903 "4:15583363-15584903" 1540
"69" "AT4G32280" "IAA29" "AT4G32280.1" "4" 15583332 15584903 1 15583332 15584898 "4:15583332-15584898" 1566
"70" "AT4G32280" "IAA29" "AT4G32280.2" "4" 15583332 15584903 1 15583332 15584898 "4:15583332-15584898" 1566
"71" "AT5G25890" "IAA28" "AT5G25890.1" "5" 9033204 9035140 1 9033204 9035140 "5:9033204-9035140" 1936
"72" "AT5G43700" "ATAUX2-11" "AT5G43700.1" "5" 17550179 17551715 1 17550179 17551715 "5:17550179-17551715" 1536
"73" "AT5G57420" "IAA33" "AT5G57420.1" "5" 23269914 23271092 1 23269914 23271092 "5:23269914-23271092" 1178
"74" "AT5G65670" "IAA9" "AT5G65670.1" "5" 26253408 26256544 1 26253408 26256544 "5:26253408-26256544" 3136
"75" "AT5G65670" "IAA9" "AT5G65670.2" "5" 26253408 26256544 1 26253947 26256381 "5:26253947-26256381" 2434
"76" "AT1G73590" "PIN1" "AT1G73590.1" "1" 27659673 27663253 1 27659673 27663253 "1:27659673-27663253" 3580
"77" "AT2G47750" "GH3.9" "AT2G47750.1" "2" 19560127 19563960 1 19560127 19563960 "2:19560127-19563960" 3833
"78" "AT4G27260" "GH3.5" "AT4G27260.1" "4" 13653579 13656285 1 13653579 13656285 "4:13653579-13656285" 2706
"79" "AT5G54510" "GH3.6" "AT5G54510.1" "5" 22130964 22133688 1 22130964 22133688 "5:22130964-22133688" 2724
"80" "AT1G59750" "ARF1" "AT1G59750.4" "1" 21979289 21984407 1 21979289 21984407 "1:21979289-21984407" -5118
"81" "AT1G59750" "ARF1" "AT1G59750.2" "1" 21979384 21984410 1 21979384 21984410 "1:21979384-21984410" -5026
"82" "AT1G59750" "ARF1" "AT1G59750.1" "1" 21979384 21984413 1 21979384 21984413 "1:21979384-21984413" -5029
"83" "AT1G59750" "ARF1" "AT1G59750.3" "1" 21979384 21984433 1 21979384 21984433 "1:21979384-21984433" -5049
"84" "AT5G62000" "ARF2" "AT5G62000.1" "5" 24910358 24915210 1 24910358 24915210 "5:24910358-24915210" -4852
"85" "AT5G62000" "ARF2" "AT5G62000.2" "5" 24910358 24915210 1 24910358 24915210 "5:24910358-24915210" -4852
"86" "AT5G62000" "ARF2" "AT5G62000.3" "5" 24910358 24915210 1 24910358 24915210 "5:24910358-24915210" -4852
"87" "AT5G62000" "ARF2" "AT5G62000.4" "5" 24910358 24915210 1 24910358 24915210 "5:24910358-24915210" -4852
"88" "AT2G33860" "ARF3" "AT2G33860.1" "2" 14325269 14328978 -1 14325269 14328978 "2:14325269-14328978" -3709
"89" "AT5G60450" "ARF4" "AT5G60450.1" "5" 24308322 24312698 -1 24308322 24312698 "5:24308322-24312698" -4376
"90" "AT1G19850" "ARF5" "AT1G19850.1" "1" 6886879 6891374 1 6886879 6891374 "1:6886879-6891374" -4495
"91" "AT1G30330" "ARF6" "AT1G30330.1" "1" 10685822 10690838 -1 10685822 10690838 "1:10685822-10690838" -5016
"92" "AT1G30330" "ARF6" "AT1G30330.2" "1" 10685822 10690838 -1 10685822 10690838 "1:10685822-10690838" -5016
"93" "AT5G20730" "ARF7" "AT5G20730.2" "5" 7016445 7022042 -1 7016445 7022042 "5:7016445-7022042" -5597
"94" "AT5G20730" "ARF7" "AT5G20730.3" "5" 7016445 7022113 -1 7016445 7022113 "5:7016445-7022113" -5668
"95" "AT5G20730" "ARF7" "AT5G20730.1" "5" 7016470 7022113 -1 7016470 7022113 "5:7016470-7022113" -5643
"96" "AT5G37020" "ARF8" "AT5G37020.1" "5" 14630028 14634387 1 14630028 14634387 "5:14630028-14634387" -4359
"97" "AT5G37020" "ARF8" "AT5G37020.2" "5" 14630028 14634387 1 14630028 14634387 "5:14630028-14634387" -4359
"98" "AT4G23980" "ARF9" "AT4G23980.2" "4" 12451198 12455267 1 12451198 12455267 "4:12451198-12455267" -4069
"99" "AT4G23980" "ARF9" "AT4G23980.1" "4" 12451277 12455014 1 12451277 12455014 "4:12451277-12455014" -3737
